Place,CarNum,Team,Run #1 Time,Run #2 Time,Run #3 Time,Run #4 Time,Best time,Score
52,96,Univ of British Columbia - Okanagan,65.572,54.924,DNF,54.324,54.324,65.69
53,111,Oakland University,56.172,54.668,62.77,DNA,54.668,63.66
54,37,Michigan Tech Univ,96.077,54.723,DNA,DNA,54.723,63.34
55,48,Colorado Mesa University,54.902,78.253,64.776,DNA,54.902,62.29
56,16,Grand Valley State Univ,68.021,59.553,63.771,54.999,54.999,61.73
57,92,Univ of Ottawa,DNF,55.018,101.643,56.535,55.018,61.62
58,78,Univ of Texas - Dallas,59.707,55.038,83.621,75.829,55.038,61.5
59,23,Embry-Riddle Aero Univ - Daytona Beach,DNF,55.128,69.123,56.137,55.128,60.98
60,119,Univ of New Hampshire,63.63,55.538,120.431,57.302,55.538,58.64
61,22,South Dakota School of Mines & Tech,DNF,56.229,62.821,55.544,55.544,58.61
62,63,Universidad Metropolitana,60.044,56.765,DNA,DNA,56.765,51.82
63,105,Rose Hulman Inst of Tech,56.892,DNF,DNA,DNA,56.892,51.13
64,114,Saginaw Valley State Univ,56.914,83.912,96.098,59.206,56.914,51.01
65,42,Univ of Maryland - College Park,58.151,DNA,DNA,DNA,58.151,44.46
66,126,Univ of Puerto Rico-Mayaquez,82.561,58.295,88.774,DNA,58.295,43.72
67,110,Univ of Illinois - Chicago,72.877,60.978,61.325,58.605,58.605,42.13
68,107,Florida Atlantic Univ,93.049,DNF,62.326,58.875,58.875,40.76
69,49,Univ of North Florida,58.963,DNF,DNA,DNA,58.963,40.31
70,113,Univ of Oklahoma,59.533,DNF,98.176,73.26,59.533,37.47
71,127,Univ of Virginia,60.168,DNF,DNA,DNA,60.168,34.36
72,122,Univ of Texas - Austin,67.492,60.265,85.084,DNA,60.265,33.89
73,60,Univ of Hartford,DNF,72.451,60.556,DNF,60.556,32.5
74,91,Tennessee Tech Univ,63.763,61.004,82.003,61.492,61.004,30.37
75,102,Univ of North Texas,63.795,154.367,DNA,DNA,63.795,17.8
76,26,California State Univ - Los Angeles,64.449,67.39,65.886,83.93,64.449,15.02
77,76,Oregon Inst of Tech,67.482,64.566,DNA,DNA,64.566,14.53
78,30,Missouri State University,79.11,72.337,72.239,65.007,65.007,12.69
79  T,93,Wichita State Univ,99.316,72.976,73.076,DNA,72.976,6.5
79  T,64,Univ of Saskatchewan,74.004,DNA,DNA,DNA,74.004,6.5
79  T,108,Brown Univ,151.832,76.072,94.09,86.3,76.072,6.5
79  T,31,York College of Pennsylvania,128.509,99.776,DNF,DNA,99.776,6.5
79  T,27,California State Univ - Fullerton,100.728,DNF,DNA,DNA,100.728,6.5
79  T,136,Texas Tech Univ,100.906,DNA,DNA,DNA,100.906,6.5
